journal	issn	url
A + T	1132-6409	
A + U:  architecture and urbanism	0389-9160	
A.mag: international architecture technical magazine	2182-472X	
A V monografías	0213-487X	
AV proyectos (Spain)	1697-493X	
A10: new European architecture	1573-3815	
Actas del congreso internacional de arquitectura religiosa…	2340-5503	
AMC:  Moniteur architecture	0998-4194	
Anales de Edificacion	2444-1309	
Anfione zeto	no ISSN	
Annali di architettura	no ISSN	
AOA: Asociacion de Oficinas de Arquitectos (Chile)	0718-3186	
Apuntes: Revista de Estudios sobre patrimonio cultural	2011-9003	
AR: Arhitektura, Raziskave	1581-6974	
Arca International	1027-460X	
Arcade	1095-4775	
Arch +	0587-3452	
Archeologie medievale	0163-9337	
Architect & builder (South Africa)	0003-8407	
Architect (Netherlands)	0925-8630	
Architect: the journal of the Sri Lanka Institute of Architects	no ISSN	
Architectura: arkitekturhistorisk arsskrift	0106-3030	
Architectural heritage journal (Bhutan)	no ISSN	
Architectural science review	0003-8628	
Architecture and ideas	1205-7592	
Architecture Ireland	1649-5152	
Architecture Minnesota	0149-9106	
Architecture New Zealand	0113-4566	
Architecture South Africa	1682-9387	
Architecture today	0958-6407	
Architektur, Innenarchitektur, Technischer Ausbau: AIT	0173-8046	
Architext = Arkhiṭeḳsṭ : ketav ʻet le-arkhiṭeḳṭurah	no ISSN	
Archithese	1010-3600	
Arkinka	1815-9273	
Arkitektur N	1504-7628	
Arkkitehti	0783-3660	
Arkkitehtuurikilpailuja = Architectural competitions in Finland	0006-7676	
ARPA Journal		
ARQ : Architecture/Quebec	1203-1488	
Arquine	1405-6151	
ArquiSur Revista	1815-5898	
Arquitectos: informacion del Consejo Superior de los Colegios	0214-1124	
Arquitectura viva	0214-1256	
Arquitectura y Urbanismo	1815-5898	
Art4D (Bangkok)	0859-161X	
A/Z: ITU journal of Faculty of Architecture [Turkey]	1320-8324	
Azure	0829-982X	
BAC: Boletin Academico	2173-6723	
Bauwelt	0005-6855	
Bitacora arquitectura (Mexico)	1405-8901	
Bitacora Urbano-Territorial	2027-145X	
Boletin academico: revista de investigacion y arquitectura	2173-6723	
Bulletin monumental	0007-473X	
C:20: the magazine of the Twentieth Century Society	no ISSN	
C3 Korea	1227-6111	
CA: revista oficial (Ciudad / arquitectura)	0716-3622	
Cahiers de la recherche architecturale et urbaine	1296-4077	
Cahiers thematiques	varies	
Ci[ur]: Cuadernos de investigacion urbanistica	2174-5099	
Cite:  the architecture and design review of Houston	8755-0415	
Ciudad y territorio - Estudios territoriales	1133-4762	
Clara: recherche architecture	2295-3671	
Clem Labine's traditional building	0898-0284	
CLOG	2164-9782	
Colonnes. Hors serie	no ISSN	
Competitions annual	no ISSN	
Connecticut preservation news	1084-189X	
Constelaciones : revista de arquitectura de la Universidad CEU	2340-177X	
Construction history	0267-7768	
Context: built, living and natural (India)	0973-502X	
Country life	0045-8856	
Criticat (France)	1961-5981	
Croquis	0212-5683	
CTBUH journal: tall buildings, design, construction and operation	1946-1186	
Cuadernos de arquitectura y fortificacion	2255-1085	
Cuadernos de investigacion urbanistica	2174-5099	
Cuadernos de proyectos arquitectonicos	2174-1131	
Cuadernos de vivienda y urbanismo	2145-0226	
D[e]signed (India)	no issn	
Detail	0011-9571	
Detail: Inside	no issn	
Detail: Structure	no issn	
Deutsche Bauzeitung	0721-1902	
Digest of South African architecture	1027-3468	
Dimensions	1074-6336	
Disegno di architettura	1121-8770	
Dlle (South Korea)	0003-8466	
D'ur : actualidad en urbanismo, arquitectura y ciudad = urbanism, architecture and cities now (Spain)	2013-9209	
Dwell (US)	1530-5309	
EAR: Edinburgh Architecture Review	0140-5039	
EGA: Revista de expresión gráfica arquitectónica	2254-6103	
En blanco : revista de arquitectura	1888-5616	
Ensayos sobre arquitectura y ceramic = Essays on architecture and ceramics (Spain)	no ISSN	
Entre Rayas	1316-0257	
Environment and behavior	0013-9165	
Escala	0120-6702	
Estudios del Habitat	2422-6483	
Field: a Free Journal for Architecture	1755-0069	
Fine homebuilding	1096-360X	
Firenze architettura	1826-9772	
Florida Caribbean architect	0015-3907	
Follies journal	1474-7669	
Footprint: Delft architecture theory journal	1875-1505	
Fulcrum (AA school)	no ISSN	
Future arquitectura	1885-8228	
Garten + Landschaft	0016-4720	
Gartenkunst	0935-0519	
Georgian Group journal	0963-1070	
Glazed expressions	0261-0329	
GSD Platform	no ISSN	
Harvard design magazine	1093-4421	
Heritage & Society	2159-032X	
Industria delle costruzioni	0579-4900	
Inform (Virginia)	1047-8353	
Informes de la construccion	1099-3234	
Interiors: design, architecture, culture (UK)	2041-9112	
International journal of heritage architecture	2058-833X	
International journal of Islamic architecture	2045-5895	
International refereed journal of architecture and design	2148-4880	
Intersight	1049-6564	
Iowa architect	0021-0439	
Irish architecture : the RIAI annual review	no ISSN	
Jian zhu xue bao = Architectural journal (China)	0529-1399	
Journal of green building	1552-6100	
Journal of interior design	1071-7641	
Journal of landscape architecture (India)	0975-0177	
Journal of planning history	1538-5132	
Journal of planning education and research	0739-456X	
Journal of Southeast Asian Architecture	0218-9593	
Journal of Sustainable Real Estate	no issn	
Journal of the Taliesin Fellows	1059-473X	
Journal of urban technology	1063-0732	
Landscape journal	0277-2426	
Landskab	0023-8066	
Leading architecture and design	no ISSN	
Marg	0023-2913	
MAS: medio, arquitectura, sociedad (Peru)	no ISSN	
Materia arquitectura  (Chile)	0718-7032	
Metropolis	0279-4977	
Monograph.it (Spain)	no ISSN	
Montreal architectural review	2368-6952	
Monu : magazine on urbanism	1860-3211	
Monumental	1168-4534	
New geographies	2152-047X	
North Carolina architecture	1045-3253	
OA&D: journal of organic architecture + design	no issn	
OASE	0169-6238	
Oculus	0885-5927	
Old-house journal	0094-0178	
ON diseño	0210-2080	
Oris	1331-7571	
