journal	issn	url
A+BE: Architecture and the Built Environment	2212-3202	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=01UCSB_SCP_SERIALS825099983&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,2212-3202
AA files	0261-6823	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS607455921&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,AA%20files&offset=0&journals=any,0621-8623
Abitare	0001-3218	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21161210520003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0001-3218&offset=0&journals=any,0001-3218
ACE: Architecture, city and environment (Spain)	1886-4805	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS502637984&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1886-4805&journals=any,1886-4805
AGC: architectural glass concepts magazine	1947-8070	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS184842468&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1947-8070&offset=0&journals=any,1947-8070
American journal of archaeology	0002-9114	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21209586120003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0002-9114&offset=0&journals=any,0002-9114"
Angulo recto	1989-4015	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS535943877&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,Angulo%20recto&offset=0&journals=any,Angulo%20recto
Apollo (London)	0003-6536	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0003-6536&tab=jsearch_slot&vid=UCSB&offset=0&journals=0003-6536",
APT bulletin	0848-8525	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS61236541&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0848-8525&offset=0&journals=any,0848-8525
Architect (Washington D.C.)	1935-7001	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS123911100&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1935-7001&offset=0&journals=any,1935-7001
